DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
ZOOKEEPER,4,77.22419928825623,NaiveBayes,BestFirst(Bi-directional),SMOTE,None,0.4375,0.6666666666666666,0.8299916457811195,0.4565217391304347,14.0,18.0,153.0,7.0
ZOOKEEPER,4,77.22419928825623,RandomForest,BestFirst(Bi-directional),SMOTE,None,0.3076923076923077,0.19047619047619047,0.7690058479532164,0.16549648946840526,4.0,9.0,162.0,17.0
ZOOKEEPER,4,77.22419928825623,IBk,BestFirst(Bi-directional),SMOTE,None,0.3,0.2857142857142857,0.6615148983570036,0.20819112627986383,6.0,14.0,157.0,15.0
ZOOKEEPER,4,77.22419928825623,NaiveBayes,BestFirst(Bi-directional),None,SensitiveLearning,0.4,0.09523809523809523,0.6272626009468115,0.11668757841907149,2.0,3.0,168.0,19.0
ZOOKEEPER,4,77.22419928825623,RandomForest,BestFirst(Bi-directional),None,SensitiveLearning,0.4,0.09523809523809523,0.6272626009468115,0.11668757841907149,2.0,3.0,168.0,19.0
ZOOKEEPER,4,77.22419928825623,IBk,BestFirst(Bi-directional),None,SensitiveLearning,0.4,0.09523809523809523,0.6272626009468115,0.11668757841907149,2.0,3.0,168.0,19.0
ZOOKEEPER,5,81.44927536231884,NaiveBayes,None,None,None,0.6666666666666666,0.05714285714285714,0.7288444040036397,0.07874682472480947,2.0,1.0,156.0,33.0
ZOOKEEPER,5,81.44927536231884,RandomForest,None,None,None,0.23809523809523808,0.14285714285714285,0.7505004549590537,0.048480930833872005,5.0,16.0,141.0,30.0
ZOOKEEPER,5,81.44927536231884,IBk,None,None,None,0.3333333333333333,0.22857142857142856,0.7505004549590537,0.144278606965174,8.0,16.0,141.0,27.0
ZOOKEEPER,5,81.44927536231884,NaiveBayes,BestFirst(Bi-directional),None,None,0.6666666666666666,0.22857142857142856,0.7887170154686078,0.2727272727272727,8.0,4.0,153.0,27.0
