#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
6,81.29938542581212,NaiveBayes,false,OverSampl,false,0.5,0.05,0.8009715025906736,0.0751194094659142,2.0,2.0,384.0,38.0
6,81.29938542581212,RandomForest,false,OverSampl,false,0.25,0.4,0.7114961139896373,0.21723152307064117,16.0,48.0,338.0,24.0
6,81.29938542581212,IBk,false,OverSampl,false,0.20634920634920634,0.325,0.7204663212435233,0.15541479993820478,13.0,50.0,336.0,27.0
6,81.29938542581212,NaiveBayes,false,UnderSampl,false,0.4,0.05,0.7977979274611399,0.06947256259989416,2.0,3.0,383.0,38.0
6,81.29938542581212,RandomForest,false,UnderSampl,false,0.2558139534883721,0.55,0.7383419689119171,0.2535259423882382,22.0,64.0,322.0,18.0
6,81.29938542581212,IBk,false,UnderSampl,false,0.22580645161290322,0.525,0.7165155440414508,0.21236133122028547,21.0,72.0,314.0,19.0
6,81.29938542581212,NaiveBayes,false,SMOTE,false,0.7142857142857143,0.125,0.7937176165803109,0.19011406844106415,5.0,2.0,384.0,35.0
6,81.29938542581212,RandomForest,false,SMOTE,false,0.38235294117647056,0.325,0.7454339378238342,0.2900985974170258,13.0,21.0,365.0,27.0
6,81.29938542581212,IBk,false,SMOTE,false,0.3870967741935484,0.3,0.7726683937823834,0.27890225455593143,12.0,19.0,367.0,28.0
6,81.29938542581212,NaiveBayes,false,NotSet,true,0.5,0.05,0.8066709844559585,0.0751194094659142,2.0,2.0,384.0,38.0
6,81.29938542581212,RandomForest,false,NotSet,true,0.25333333333333335,0.475,0.7356217616580311,0.23698534542916933,19.0,56.0,330.0,21.0
6,81.29938542581212,IBk,false,NotSet,true,0.21666666666666667,0.325,0.774740932642487,0.16603174603174628,13.0,47.0,339.0,27.0
6,81.29938542581212,NaiveBayes,true,OverSampl,false,0.6666666666666666,0.1,0.8137629533678756,0.1531701192718146,4.0,2.0,384.0,36.0
6,81.29938542581212,RandomForest,true,OverSampl,false,0.22033898305084745,0.325,0.7193329015544041,0.1697015005072889,13.0,46.0,340.0,27.0
6,81.29938542581212,IBk,true,OverSampl,false,0.23333333333333334,0.35,0.7553756476683938,0.1885714285714286,14.0,46.0,340.0,26.0
6,81.29938542581212,NaiveBayes,true,UnderSampl,false,0.5,0.05,0.7885038860103627,0.0751194094659142,2.0,2.0,384.0,38.0
6,81.29938542581212,RandomForest,true,UnderSampl,false,0.25555555555555554,0.575,0.756509067357513,0.25728518057285193,23.0,67.0,319.0,17.0
6,81.29938542581212,IBk,true,UnderSampl,false,0.19607843137254902,0.5,0.6989637305699482,0.16968585186883722,20.0,82.0,304.0,20.0
6,81.29938542581212,NaiveBayes,true,SMOTE,false,0.6666666666666666,0.1,0.7990932642487046,0.1531701192718146,4.0,2.0,384.0,36.0
6,81.29938542581212,RandomForest,true,SMOTE,false,0.3055555555555556,0.275,0.7437176165803109,0.22009764035801427,11.0,25.0,361.0,29.0
6,81.29938542581212,IBk,true,SMOTE,false,0.275,0.275,0.750291450777202,0.19987046632124378,11.0,29.0,357.0,29.0
6,81.29938542581212,NaiveBayes,true,NotSet,true,0.8,0.1,0.809779792746114,0.16025572722429396,4.0,1.0,385.0,36.0
6,81.29938542581212,RandomForest,true,NotSet,true,0.1978021978021978,0.45,0.7303432642487047,0.1660140955364134,18.0,73.0,313.0,22.0
6,81.29938542581212,IBk,true,NotSet,true,0.15625,0.25,0.74375,0.08677011024908154,10.0,54.0,332.0,30.0
