@relation /TRAINING-SET2.arff

@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute LOC_ADDED_AVG numeric
@attribute LOC_ADDED_MAX numeric
@attribute LOC_REMOVED numeric
@attribute LOC_REMOVED_AVG numeric
@attribute LOC_REMOVED_MAX numeric
@attribute CHURN numeric
@attribute CHURN_AVG numeric
@attribute CHURN_MAX numeric
@attribute LOC_TOUCHED numeric
@attribute LOC_TOUCHED_AVG numeric
@attribute LOC_TOUCHED_MAX numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute NUMBER_OF_DEFECT_FIXES numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'YES', 'NO'}

@data
85,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
56,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
76,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
225,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
137,6,6.0,6,1,1.0,1,7,7.0,7,5,5.0,5,1,0,1,NO
78,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
55,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
82,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
55,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
115,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
38,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
53,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
30,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
34,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
95,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
69,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
38,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
61,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
132,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
149,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
210,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
151,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
39,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
45,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
48,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
33,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
98,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
117,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
278,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
251,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
252,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
88,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
83,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
43,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
107,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
35,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
55,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
41,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
99,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
75,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
40,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
35,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
39,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
101,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
508,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
47,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
142,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
106,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
62,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
210,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
525,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
88,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
833,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
457,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
99,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
151,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
52,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
1045,98,98.0,98,84,84.0,84,182,182.0,182,14,14.0,14,1,0,1,NO
39,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
89,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
100,100,100.0,100,0,0.0,0,100,100.0,100,100,100.0,100,1,0,1,NO
336,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
312,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
78,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
81,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
107,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
112,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
