#TRAINING_RELEASES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,NPOFB_20
24,NaiveBayes,false,SMOTE,false,0.14754098360655737
24,IBk,true,OverSampl,false,0.26229508196721313
10,NaiveBayes,true,SMOTE,false,0.3333333333333333
25,IBk,false,UnderSampl,false,0.288135593220339
20,IBk,true,UnderSampl,false,0.22950819672131148
23,IBk,true,UnderSampl,false,0.3090909090909091
20,RandomForest,true,NotSet,true,0.16393442622950818
8,IBk,false,UnderSampl,false,0.28205128205128205
4,RandomForest,false,NotSet,false,0.35
4,IBk,false,UnderSampl,false,0.3
26,IBk,false,UnderSampl,false,0.09090909090909091
18,IBk,false,SMOTE,false,0.12727272727272726
6,RandomForest,false,NotSet,true,0.35294117647058826
25,NaiveBayes,false,SMOTE,false,0.1864406779661017
20,RandomForest,false,NotSet,true,0.20967741935483872
24,IBk,true,NotSet,true,0.2786885245901639
2,IBk,true,NotSet,true,0.21875
22,NaiveBayes,false,OverSampl,false,0.2
7,NaiveBayes,false,OverSampl,false,0.07407407407407407
3,IBk,true,NotSet,false,0.175
4,RandomForest,true,OverSampl,false,0.3
18,NaiveBayes,true,NotSet,false,0.17857142857142858
9,RandomForest,false,NotSet,true,0.3111111111111111
18,IBk,true,UnderSampl,false,0.16071428571428573
26,NaiveBayes,true,SMOTE,false,0.2727272727272727
24,IBk,false,NotSet,false,0.2459016393442623
18,IBk,false,NotSet,false,0.14545454545454545
1,IBk,false,NotSet,false,0.11764705882352941
15,RandomForest,true,OverSampl,false,0.23809523809523808
24,RandomForest,true,OverSampl,false,0.29508196721311475
18,RandomForest,false,NotSet,true,0.16363636363636364
10,RandomForest,false,NotSet,false,0.25
16,IBk,false,NotSet,true,0.24390243902439024
22,IBk,true,OverSampl,false,0.28888888888888886
19,IBk,false,NotSet,true,0.15517241379310345
10,NaiveBayes,false,NotSet,true,0.3333333333333333
23,RandomForest,false,UnderSampl,false,0.2727272727272727
2,IBk,true,OverSampl,false,0.15151515151515152
2,NaiveBayes,true,NotSet,false,0.09090909090909091
13,RandomForest,true,NotSet,true,0.25
23,NaiveBayes,true,NotSet,false,0.2
21,IBk,false,NotSet,true,0.24
10,IBk,false,UnderSampl,false,0.25
24,RandomForest,true,SMOTE,false,0.2459016393442623
17,RandomForest,false,OverSampl,false,0.16279069767441862
12,IBk,false,NotSet,false,0.23809523809523808
1,RandomForest,false,SMOTE,false,0.125
14,NaiveBayes,true,SMOTE,false,0.22727272727272727
26,NaiveBayes,false,NotSet,false,0.4090909090909091
7,NaiveBayes,false,UnderSampl,false,0.0
11,IBk,false,NotSet,false,0.21951219512195122
4,RandomForest,true,NotSet,true,0.3
12,NaiveBayes,true,SMOTE,false,0.14634146341463414
1,RandomForest,true,OverSampl,false,0.125
14,NaiveBayes,false,UnderSampl,false,0.17777777777777778
8,NaiveBayes,false,OverSampl,false,0.1282051282051282
