@relation /BOOKKEEPER_TRAINING-SET4.arff

@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute LOC_ADDED_AVG numeric
@attribute LOC_ADDED_MAX numeric
@attribute LOC_REMOVED numeric
@attribute LOC_REMOVED_AVG numeric
@attribute LOC_REMOVED_MAX numeric
@attribute CHURN numeric
@attribute CHURN_AVG numeric
@attribute CHURN_MAX numeric
@attribute LOC_TOUCHED numeric
@attribute LOC_TOUCHED_AVG numeric
@attribute LOC_TOUCHED_MAX numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute NUMBER_OF_DEFECT_FIXES numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'YES', 'NO'}

@data
84,26,26.0,26,9,9.0,9,35,35.0,35,17,17.0,17,1,0,1,YES
169,5,2.5,5,1,0.5,1,6,3.0,6,4,2.0,4,2,1,2,YES
189,17,5.6666665,17,1,0.33333334,1,18,6.0,18,16,5.3333335,16,3,1,2,YES
127,59,11.8,59,35,7.0,35,94,18.8,94,24,4.8,24,5,3,2,YES
79,2,2.0,2,1,1.0,1,3,3.0,3,1,1.0,1,1,1,1,YES
90,25,25.0,25,22,22.0,22,47,47.0,47,3,3.0,3,1,1,1,NO
85,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
113,10,5.0,10,2,1.0,2,12,6.0,12,10,5.0,10,2,1,2,YES
276,61,20.333334,61,1,0.33333334,1,62,20.666666,62,60,20.0,60,3,2,2,YES
549,182,30.333334,182,10,1.6666666,10,192,32.0,192,182,30.333334,182,6,4,2,YES
27,27,27.0,27,0,0.0,0,27,27.0,27,27,27.0,27,1,0,1,NO
88,89,44.5,89,1,0.5,1,90,45.0,90,88,44.0,88,2,0,1,YES
283,36,9.0,36,6,1.5,6,42,10.5,42,30,7.5,30,4,3,3,YES
175,12,6.0,12,30,15.0,30,42,21.0,42,24,12.0,24,2,2,2,YES
507,29,7.25,29,36,9.0,36,65,16.25,65,25,6.25,25,4,4,2,YES
209,5,5.0,5,0,0.0,0,5,5.0,5,5,5.0,5,1,0,1,NO
147,5,5.0,5,2,2.0,2,7,7.0,7,3,3.0,3,1,1,1,NO
98,1,1.0,1,1,1.0,1,2,2.0,2,0,0.0,0,1,0,1,YES
132,132,132.0,132,0,0.0,0,132,132.0,132,132,132.0,132,1,1,1,NO
236,236,236.0,236,0,0.0,0,236,236.0,236,236,236.0,236,1,0,1,YES
227,49,16.333334,49,3,1.0,3,52,17.333334,52,46,15.333333,46,3,2,2,YES
172,20,6.6666665,20,2,0.6666667,2,22,7.3333335,22,18,6.0,18,3,2,2,NO
507,153,17.0,153,39,4.3333335,39,192,21.333334,192,114,12.666667,114,9,4,2,YES
90,90,90.0,90,0,0.0,0,90,90.0,90,90,90.0,90,1,0,1,YES
58,58,58.0,58,0,0.0,0,58,58.0,58,58,58.0,58,1,0,1,YES
132,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
529,9,2.25,9,13,3.25,13,22,5.5,22,4,1.0,4,4,0,1,YES
694,193,19.3,193,102,10.2,102,295,29.5,295,107,10.7,107,10,5,3,YES
148,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,YES
174,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
148,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
92,2,2.0,2,2,2.0,2,4,4.0,4,0,0.0,0,1,0,1,NO
664,666,333.0,666,1,0.5,1,667,333.5,667,665,332.5,665,2,0,1,YES
55,55,55.0,55,0,0.0,0,55,55.0,55,55,55.0,55,1,0,1,NO
256,43,14.333333,43,21,7.0,21,64,21.333334,64,22,7.3333335,22,3,1,2,YES
54,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
38,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,YES
98,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,YES
39,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
69,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,YES
94,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,YES
72,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
42,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
48,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
63,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,YES
318,86,28.666666,86,5,1.6666666,5,91,30.333334,91,81,27.0,81,3,0,2,YES
136,3,3.0,3,0,0.0,0,3,3.0,3,3,3.0,3,1,0,1,YES
141,4,4.0,4,0,0.0,0,4,4.0,4,4,4.0,4,1,0,1,YES
190,15,15.0,15,2,2.0,2,17,17.0,17,13,13.0,13,1,0,1,YES
46,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
165,59,59.0,59,22,22.0,22,81,81.0,81,37,37.0,37,1,0,1,NO
162,13,13.0,13,0,0.0,0,13,13.0,13,13,13.0,13,1,0,1,NO
58,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
148,9,9.0,9,10,10.0,10,19,19.0,19,1,1.0,1,1,0,1,YES
74,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
36,36,36.0,36,0,0.0,0,36,36.0,36,36,36.0,36,1,0,1,NO
37,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
38,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,NO
