TicketKey,CreationDate,ResolutionDate, OV,FV,AV
ZOOKEEPER-2936,2017-11-08,2018-03-02,31,32,2
ZOOKEEPER-2934,2017-11-06,2017-11-15,31,32,2
ZOOKEEPER-2931,2017-11-05,2017-11-15,31,32,2
ZOOKEEPER-2926,2017-10-27,2018-08-08,31,35,1
ZOOKEEPER-2924,2017-10-26,2017-12-12,31,32,2
ZOOKEEPER-2923,2017-10-23,2017-11-15,31,32,2
ZOOKEEPER-2913,2017-10-02,2018-09-05,31,35,3
ZOOKEEPER-2909,2017-09-29,2017-10-09,31,31,2
ZOOKEEPER-2905,2017-09-25,2017-09-27,31,31,0
ZOOKEEPER-2901,2017-09-20,2018-05-09,31,33,1
ZOOKEEPER-2894,2017-09-08,2019-07-09,31,37,1
ZOOKEEPER-2893,2017-09-07,2017-12-19,31,32,2
ZOOKEEPER-2891,2017-09-05,2019-08-06,31,37,1
ZOOKEEPER-2890,2017-09-05,2017-10-10,31,31,2
ZOOKEEPER-2886,2017-08-30,2018-07-10,31,34,2
ZOOKEEPER-2885,2017-08-30,2017-08-30,31,31,1
ZOOKEEPER-2874,2017-08-11,2017-08-18,31,31,0
ZOOKEEPER-2872,2017-08-10,2021-02-11,31,43,2
ZOOKEEPER-2863,2017-08-04,2017-08-04,31,31,1
ZOOKEEPER-2862,2017-08-03,2017-08-03,31,31,1
ZOOKEEPER-2861,2017-08-01,2017-08-18,31,31,0
ZOOKEEPER-2859,2017-07-26,2017-08-13,31,31,0
ZOOKEEPER-2853,2017-07-24,2017-08-03,31,31,0
ZOOKEEPER-2852,2017-07-24,2017-08-03,31,31,1
ZOOKEEPER-2847,2017-07-19,2018-10-01,31,35,1
ZOOKEEPER-2845,2017-07-14,2018-02-23,31,32,2
ZOOKEEPER-2841,2017-07-07,2017-08-01,31,31,0
ZOOKEEPER-2836,2017-07-04,2020-03-31,31,39,1
ZOOKEEPER-2822,2017-06-27,2018-11-27,31,35,1
ZOOKEEPER-2819,2017-06-23,2017-07-06,31,31,4
ZOOKEEPER-2818,2017-06-23,2017-07-04,31,31,0
ZOOKEEPER-2811,2017-06-18,2017-07-06,31,31,1
ZOOKEEPER-2809,2017-06-16,2017-09-11,31,31,1
ZOOKEEPER-2808,2017-06-15,2017-06-18,31,31,0
ZOOKEEPER-2806,2017-06-13,2018-03-26,31,32,2
ZOOKEEPER-2804,2017-06-09,2017-08-18,31,31,0
ZOOKEEPER-2798,2017-06-01,2017-06-08,31,31,2
ZOOKEEPER-2797,2017-05-30,2017-06-01,31,31,0
ZOOKEEPER-2786,2017-05-19,2017-08-09,31,31,2
ZOOKEEPER-2785,2017-05-17,2017-05-18,31,31,1
ZOOKEEPER-2778,2017-05-06,2018-12-07,31,35,1
ZOOKEEPER-2777,2017-05-05,2017-09-11,31,31,1
ZOOKEEPER-2775,2017-05-05,2017-06-12,31,31,2
ZOOKEEPER-2774,2017-05-04,2017-05-18,31,31,3
ZOOKEEPER-2759,2017-04-17,2017-04-27,30,31,1
ZOOKEEPER-2758,2017-04-15,2017-04-24,30,31,0
ZOOKEEPER-2747,2017-04-06,2017-04-17,30,30,1
ZOOKEEPER-2743,2017-04-01,2017-04-10,30,30,2
ZOOKEEPER-2740,2017-03-27,2017-07-20,29,31,2
ZOOKEEPER-2737,2017-03-24,2017-03-27,29,29,1
ZOOKEEPER-2735,2017-03-23,2017-03-23,29,29,0
ZOOKEEPER-2728,2017-03-20,2017-06-19,29,31,1
ZOOKEEPER-2726,2017-03-16,2017-03-16,29,29,0
ZOOKEEPER-2725,2017-03-15,2017-03-21,29,29,1
ZOOKEEPER-2722,2017-03-14,2017-04-17,29,30,0
ZOOKEEPER-2712,2017-03-08,2017-03-22,29,29,0
ZOOKEEPER-2706,2017-02-23,2017-03-23,29,29,0
ZOOKEEPER-2694,2017-02-14,2019-05-23,29,37,1
ZOOKEEPER-2693,2017-02-14,2017-03-07,29,29,3
ZOOKEEPER-2691,2017-02-10,2017-05-26,29,31,7
ZOOKEEPER-2690,2017-02-09,2017-11-15,29,32,2
ZOOKEEPER-2689,2017-02-09,2017-02-13,29,29,1
ZOOKEEPER-2687,2017-02-08,2017-02-15,29,29,1
ZOOKEEPER-2684,2017-02-07,2017-11-03,29,31,0
ZOOKEEPER-2683,2017-02-06,2017-02-13,29,29,1
ZOOKEEPER-2680,2017-01-27,2017-02-10,29,29,2
ZOOKEEPER-2678,2017-01-26,2017-02-14,29,29,2
ZOOKEEPER-2671,2017-01-23,2017-01-23,29,29,0
ZOOKEEPER-2651,2016-12-22,2017-01-11,29,29,2
ZOOKEEPER-2647,2016-12-16,2017-01-05,29,29,0
ZOOKEEPER-2646,2016-12-15,2016-12-22,29,29,1
ZOOKEEPER-2642,2016-12-07,2017-02-11,29,29,1
ZOOKEEPER-2635,2016-11-24,2017-03-21,29,29,0
ZOOKEEPER-2633,2016-11-17,2017-01-23,29,29,0
ZOOKEEPER-2628,2016-11-05,2016-11-24,29,29,1
ZOOKEEPER-2627,2016-11-03,2016-12-03,29,29,1
ZOOKEEPER-2623,2016-10-28,2023-09-10,29,52,0
ZOOKEEPER-2622,2016-10-26,2017-01-28,29,29,0
ZOOKEEPER-2621,2016-10-26,2019-03-18,29,35,1
ZOOKEEPER-2617,2016-10-18,2017-02-14,29,29,1
ZOOKEEPER-2614,2016-10-12,2017-08-01,29,31,1
ZOOKEEPER-2611,2016-10-09,2016-10-09,29,29,0
ZOOKEEPER-2606,2016-10-04,2016-10-17,29,29,0
ZOOKEEPER-2590,2016-09-18,2023-12-04,29,55,0
ZOOKEEPER-2581,2016-09-14,2017-09-11,29,31,1
ZOOKEEPER-2579,2016-09-13,2016-09-18,29,29,2
ZOOKEEPER-2576,2016-09-12,2016-09-13,29,29,0
ZOOKEEPER-2574,2016-09-09,2017-01-23,29,29,5
ZOOKEEPER-2573,2016-09-09,2017-01-25,29,29,2
ZOOKEEPER-2563,2016-09-08,2019-07-17,29,37,1
ZOOKEEPER-2558,2016-09-06,2016-09-08,29,29,2
ZOOKEEPER-2556,2016-09-06,2016-11-03,29,29,2
ZOOKEEPER-2552,2016-09-05,2016-12-15,29,29,1
ZOOKEEPER-2548,2016-09-02,2016-09-07,28,29,0
ZOOKEEPER-2539,2016-08-29,2016-09-08,28,29,2
ZOOKEEPER-2536,2016-08-26,2016-09-08,28,29,2
ZOOKEEPER-2517,2016-08-18,2016-12-30,28,29,1
ZOOKEEPER-2498,2016-08-03,2016-08-03,28,28,2
ZOOKEEPER-2478,2016-07-19,2016-07-19,27,27,0
ZOOKEEPER-2477,2016-07-17,2016-07-29,27,28,2
ZOOKEEPER-2470,2016-07-08,2016-12-22,27,29,2
ZOOKEEPER-2467,2016-07-07,2016-10-16,27,29,3
ZOOKEEPER-2465,2016-07-05,2016-12-30,27,29,0
ZOOKEEPER-2464,2016-07-04,2017-02-11,27,29,1
ZOOKEEPER-2459,2016-06-29,2016-06-30,27,27,0
ZOOKEEPER-2452,2016-06-23,2016-08-11,27,28,0
ZOOKEEPER-2450,2016-06-22,2016-06-22,27,27,2
ZOOKEEPER-2442,2016-06-03,2016-08-03,27,28,1
ZOOKEEPER-2418,2016-04-28,2019-07-03,27,37,1
ZOOKEEPER-2413,2016-04-13,2016-04-24,27,27,1
ZOOKEEPER-2405,2016-03-26,2016-05-25,27,27,2
ZOOKEEPER-2393,2016-03-18,2016-03-19,27,27,0
ZOOKEEPER-2385,2016-03-09,2016-03-15,27,27,0
ZOOKEEPER-2383,2016-03-08,2017-01-03,27,29,1
ZOOKEEPER-2380,2016-03-04,2016-06-23,27,27,0
ZOOKEEPER-2375,2016-02-25,2016-03-02,27,27,4
ZOOKEEPER-2366,2016-02-12,2016-06-23,26,27,1
ZOOKEEPER-2360,2016-02-04,2016-02-05,26,26,2
ZOOKEEPER-2355,2016-01-18,2017-08-03,26,31,6
ZOOKEEPER-2349,2015-12-21,2017-09-11,26,31,0
ZOOKEEPER-2347,2015-12-16,2016-01-14,26,26,1
ZOOKEEPER-2340,2015-12-09,2015-12-10,26,26,0
ZOOKEEPER-2335,2015-12-06,2015-12-06,26,26,0
ZOOKEEPER-2334,2015-12-04,2015-12-16,26,26,0
